run_ts,date,away,home,p_home,exp_total,p_over,total_line,home_ml,away_ml,market_p_home,best_side,best_edge,high_ev
2026-07-21T14:00:08+00:00,2026-07-21,Minnesota Twins,Cleveland Guardians,0.55742,8.75,0.4771,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Los Angeles Dodgers,Philadelphia Phillies,0.45599,8.55,0.4586,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Pittsburgh Pirates,New York Yankees,0.51633,10.64,0.6131,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Tampa Bay Rays,Toronto Blue Jays,0.44126,8.24,0.4304,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Baltimore Orioles,Boston Red Sox,0.57018,8.32,0.4402,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,San Diego Padres,Atlanta Braves,0.65035,9.72,0.547,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,San Francisco Giants,Kansas City Royals,0.4918,9.79,0.5548,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,New York Mets,Milwaukee Brewers,0.5699,8.48,0.4568,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Detroit Tigers,Chicago Cubs,0.50952,8.85,0.4873,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Chicago White Sox,Texas Rangers,0.50883,10.11,0.5784,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Miami Marlins,Houston Astros,0.45668,10.19,0.5773,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Washington Nationals,Colorado Rockies,0.45004,14.07,0.743,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,St. Louis Cardinals,Los Angeles Angels,0.49847,9.77,0.5548,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Athletics,Arizona Diamondbacks,0.57314,10.51,0.6017,8.5,,,,,,
2026-07-21T14:00:08+00:00,2026-07-21,Cincinnati Reds,Seattle Mariners,0.44278,7.84,0.3896,8.5,,,,,,
2026-07-22T14:56:27+00:00,2026-07-22,Pittsburgh Pirates,New York Yankees,0.5089,11.01,0.6308,8.5,-163.0,163.0,0.6198,away,0.1134,1
2026-07-22T14:56:27+00:00,2026-07-22,Pittsburgh Pirates,New York Yankees,0.58118,10.07,0.5736,8.5,-152.0,152.0,0.6032,away,0.0445,1
2026-07-22T14:56:27+00:00,2026-07-22,Baltimore Orioles,Boston Red Sox,0.60855,9.47,0.5316,8.5,-141.0,141.0,0.5851,away,0.0064,0
2026-07-22T14:56:27+00:00,2026-07-22,Baltimore Orioles,Boston Red Sox,0.50188,8.97,0.4948,8.5,-126.0,126.0,0.5575,away,0.0562,1
2026-07-22T14:56:27+00:00,2026-07-22,San Francisco Giants,Kansas City Royals,0.46285,9.13,0.505,8.5,112.0,-112.0,0.4717,home,0.0016,0
2026-07-22T14:56:27+00:00,2026-07-22,New York Mets,Milwaukee Brewers,0.62607,8.09,0.42,8.5,-128.0,128.0,0.5614,home,0.0302,0
2026-07-22T14:56:27+00:00,2026-07-22,Washington Nationals,Colorado Rockies,0.43202,12.06,0.6707,8.5,129.0,-129.0,0.4367,home,0.0143,0
2026-07-22T14:56:27+00:00,2026-07-22,Athletics,Arizona Diamondbacks,0.49924,10.4,0.5964,8.5,-117.0,117.0,0.5392,away,0.0397,1
2026-07-22T14:56:27+00:00,2026-07-22,Cincinnati Reds,Seattle Mariners,0.61344,7.94,0.4047,8.5,-140.0,140.0,0.5833,away,0.001,0
